Date,Plot #,Functional Group,Value
10/13/2024,1063,EBA,0.39
10/13/2024,1063,BBA,0.17
10/13/2024,1063,APR,0.00
10/13/2024,1063,PRE,0.00
10/13/2024,511,SFV,
10/13/2024,511,SPP,
10/13/2024,511,OPP,
10/13/2024,511,OMN,
10/13/2024,511,EBA,
10/13/2024,511,BBA,
10/13/2024,511,APR,
10/13/2024,511,PRE,
10/13/2024,509,SFV,
10/13/2024,509,SPP,
10/13/2024,509,OPP,
10/13/2024,509,OMN,
10/13/2024,509,EBA,
10/13/2024,509,BBA,
10/13/2024,509,APR,
10/13/2024,509,PRE,
10/13/2024,1055,SFV,0.24
10/13/2024,1055,SPP,0.24
10/13/2024,1055,OPP,0.13
10/13/2024,1055,OMN,0.03
10/13/2024,1055,EBA,0.07
10/13/2024,1055,BBA,0.23
10/13/2024,1055,APR,0.07
10/13/2024,1055,PRE,0.00
10/28/2024,1063,SFV,0.08
10/28/2024,1063,SPP,0.08
10/28/2024,1063,OPP,0.03
10/28/2024,1063,OMN,0.00
10/28/2024,1063,EBA,0.47
10/28/2024,1063,BBA,0.30
10/28/2024,1063,APR,0.03
10/28/2024,1063,PRE,0.00
10/28/2024,511,SFV,0.05
10/28/2024,511,SPP,0.05
10/28/2024,511,OPP,0.00
10/28/2024,511,OMN,0.07
10/28/2024,511,EBA,0.77
10/28/2024,511,BBA,0.03
10/28/2024,511,APR,0.03
10/28/2024,511,PRE,0.00
10/28/2024,509,SFV,0.10
10/28/2024,509,SPP,0.10
10/28/2024,509,OPP,0.11
10/28/2024,509,OMN,0.15
10/28/2024,509,EBA,0.33
10/28/2024,509,BBA,0.11
10/28/2024,509,APR,0.11
10/28/2024,509,PRE,0.00
10/28/2024,1055,SFV,0.24
10/28/2024,1055,SPP,0.24
10/28/2024,1055,OPP,0.00
10/28/2024,1055,OMN,0.17
10/28/2024,1055,EBA,0.17
10/28/2024,1055,BBA,0.10
10/28/2024,1055,APR,0.07
10/28/2024,1055,PRE,0.03
11/25/2024,1063,SFV,0.22
11/25/2024,1063,SPP,0.22
11/25/2024,1063,OPP,0.03
11/25/2024,1063,OMN,0.06
11/25/2024,1063,EBA,0.19
11/25/2024,1063,BBA,0.09
11/25/2024,1063,APR,0.19
11/25/2024,1063,PRE,0.00
11/25/2024,511,SFV,0.23
11/25/2024,511,SPP,0.23
11/25/2024,511,OPP,0.03
11/25/2024,511,OMN,0.20
11/25/2024,511,EBA,0.13
11/25/2024,511,BBA,0.13
11/25/2024,511,APR,0.03
11/25/2024,511,PRE,0.00
11/25/2024,509,SFV,0.07
11/25/2024,509,SPP,0.07
11/25/2024,509,OPP,0.21
11/25/2024,509,OMN,0.00
11/25/2024,509,EBA,0.24
11/25/2024,509,BBA,0.10
11/25/2024,509,APR,0.31
11/25/2024,509,PRE,0.00
11/25/2024,1055,SFV,0.10
11/25/2024,1055,SPP,0.10
11/25/2024,1055,OPP,0.00
11/25/2024,1055,OMN,0.07
11/25/2024,1055,EBA,0.13
11/25/2024,1055,BBA,0.50
11/25/2024,1055,APR,0.10
11/25/2024,1055,PRE,0.00
12/9/2024,1063,SFV,0.15
12/9/2024,1063,SPP,0.15
12/9/2024,1063,OPP,0.03
12/9/2024,1063,OMN,0.07
12/9/2024,1063,EBA,0.27
12/9/2024,1063,BBA,0.00
12/9/2024,1063,APR,0.30
12/9/2024,1063,PRE,0.03
12/9/2024,511,SFV,0.09
12/9/2024,511,SPP,0.09
12/9/2024,511,OPP,0.00
12/9/2024,511,OMN,0.37
12/9/2024,511,EBA,0.30
12/9/2024,511,BBA,0.10
12/9/2024,511,APR,0.07
12/9/2024,511,PRE,0.00
12/9/2024,509,SFV,
12/9/2024,509,SPP,
12/9/2024,509,OPP,
12/9/2024,509,OMN,
12/9/2024,509,EBA,
12/9/2024,509,BBA,
12/9/2024,509,APR,
12/9/2024,509,PRE,
12/9/2024,1055,SFV,
12/9/2024,1055,SPP,
12/9/2024,1055,OPP,
12/9/2024,1055,OMN,
12/9/2024,1055,EBA,
12/9/2024,1055,BBA,
12/9/2024,1055,APR,
12/9/2024,1055,PRE,
1/5/2025,1063,SFV,0.27
1/5/2025,1063,SPP,0.27
1/5/2025,1063,OPP,0.03
1/5/2025,1063,OMN,0.06
1/5/2025,1063,EBA,0.23
1/5/2025,1063,BBA,0.10
1/5/2025,1063,APR,0.03
1/5/2025,1063,PRE,0.00
1/5/2025,511,SFV,0.20
1/5/2025,511,SPP,0.20
1/5/2025,511,OPP,0.00
1/5/2025,511,OMN,0.03
1/5/2025,511,EBA,0.07
1/5/2025,511,BBA,0.33
1/5/2025,511,APR,0.17
1/5/2025,511,PRE,0.00
1/5/2025,509,SFV,0.14
1/5/2025,509,SPP,0.14
1/5/2025,509,OPP,0.03
1/5/2025,509,OMN,0.00
1/5/2025,509,EBA,0.43
1/5/2025,509,BBA,0.23
1/5/2025,509,APR,0.03
1/5/2025,509,PRE,0.00
1/5/2025,1055,SFV,0.22
1/5/2025,1055,SPP,0.22
1/5/2025,1055,OPP,0.07
1/5/2025,1055,OMN,0.03
1/5/2025,1055,EBA,0.10
1/5/2025,1055,BBA,0.13
1/5/2025,1055,APR,0.10
1/5/2025,1055,PRE,0.13
2/11/2025,1063,SFV,6.00
2/11/2025,1063,SPP,6.00
2/11/2025,1063,OPP,1.00
2/11/2025,1063,OMN,0.00
2/11/2025,1063,EBA,11.00
2/11/2025,1063,BBA,4.00
2/11/2025,1063,APR,3.00
2/11/2025,1063,PRE,0.00
2/12/2025,511,SFV,6.00
2/12/2025,511,SPP,6.00
2/12/2025,511,OPP,2.00
2/12/2025,511,OMN,5.00
2/12/2025,511,EBA,6.00
2/12/2025,511,BBA,1.00
2/12/2025,511,APR,2.00
2/12/2025,511,PRE,2.00
2/13/2025,509,SFV,6.00
2/13/2025,509,SPP,6.00
2/13/2025,509,OPP,2.00
2/13/2025,509,OMN,1.00
2/13/2025,509,EBA,7.00
2/13/2025,509,BBA,2.00
2/13/2025,509,APR,4.00
2/13/2025,509,PRE,2.00
2/14/2025,1055,SFV,3.00
2/14/2025,1055,SPP,3.00
2/14/2025,1055,OPP,1.00
2/14/2025,1055,OMN,0.00
2/14/2025,1055,EBA,13.00
2/14/2025,1055,BBA,9.00
2/14/2025,1055,APR,2.00
2/14/2025,1055,PRE,0.00
