Date,Plot,Group,Proportion,Burn,Time
10/13/24,1055,OPP,0.13,Unburned,Pre
10/13/24,1055,PRE,0,Unburned,Pre
10/13/24,1055,SFV.SPP,0.48,Unburned,Pre
10/28/24,509,APR,0.11,Burned,Post
10/28/24,509,BBA,0.11,Burned,Post
10/28/24,509,EBA,0.33,Burned,Post
10/28/24,509,OMN,0.15,Burned,Post
10/28/24,509,OPP,0.11,Burned,Post
10/28/24,509,PRE,0,Burned,Post
10/28/24,509,SFV.SPP,0.2,Burned,Post
10/28/24,511,APR,0.03,Burned,Post
10/28/24,511,BBA,0.03,Burned,Post
10/28/24,511,EBA,0.77,Burned,Post
10/28/24,511,OMN,0.07,Burned,Post
10/28/24,511,OPP,0,Burned,Post
10/28/24,511,PRE,0,Burned,Post
10/28/24,511,SFV.SPP,0.1,Burned,Post
10/28/24,1055,APR,0.07,Unburned,Post
10/28/24,1055,BBA,0.1,Unburned,Post
10/28/24,1055,EBA,0.17,Unburned,Post
10/28/24,1055,OMN,0.17,Unburned,Post
10/28/24,1055,OPP,0,Unburned,Post
10/28/24,1055,PRE,0.03,Unburned,Post
10/28/24,1055,SFV.SPP,0.48,Unburned,Post
10/28/24,1063,APR,0.03,Burned,Post
10/28/24,1063,BBA,0.3,Burned,Post
10/28/24,1063,EBA,0.47,Burned,Post
10/28/24,1063,OMN,0,Burned,Post
10/28/24,1063,OPP,0.03,Burned,Post
10/28/24,1063,PRE,0,Burned,Post
10/28/24,1063,SFV.SPP,0.16,Burned,Post
11/25/24,509,APR,0.31,Burned,Post
11/25/24,509,BBA,0.1,Burned,Post
11/25/24,509,EBA,0.24,Burned,Post
11/25/24,509,OMN,0,Burned,Post
11/25/24,509,OPP,0.21,Burned,Post
11/25/24,509,PRE,0,Burned,Post
11/25/24,509,SFV.SPP,0.14,Burned,Post
11/25/24,511,APR,0.03,Burned,Post
11/25/24,511,BBA,0.13,Burned,Post
11/25/24,511,EBA,0.13,Burned,Post
11/25/24,511,OMN,0.2,Burned,Post
11/25/24,511,OPP,0.03,Burned,Post
11/25/24,511,PRE,0,Burned,Post
11/25/24,511,SFV.SPP,0.46,Burned,Post
11/25/24,1055,APR,0.1,Unburned,Post
11/25/24,1055,BBA,0.5,Unburned,Post
11/25/24,1055,EBA,0.13,Unburned,Post
11/25/24,1055,OMN,0.07,Unburned,Post
11/25/24,1055,OPP,0,Unburned,Post
11/25/24,1055,PRE,0,Unburned,Post
11/25/24,1055,SFV.SPP,0.2,Unburned,Post
11/25/24,1063,APR,0.19,Burned,Post
11/25/24,1063,BBA,0.09,Burned,Post
11/25/24,1063,EBA,0.19,Burned,Post
11/25/24,1063,OMN,0.06,Burned,Post
11/25/24,1063,OPP,0.03,Burned,Post
11/25/24,1063,PRE,0,Burned,Post
11/25/24,1063,SFV.SPP,0.44,Burned,Post
12/9/24,511,APR,0.07,Burned,Post
12/9/24,511,BBA,0.1,Burned,Post
12/9/24,511,EBA,0.3,Burned,Post
12/9/24,511,OMN,0.37,Burned,Post
12/9/24,511,OPP,0,Burned,Post
12/9/24,511,PRE,0,Burned,Post
12/9/24,511,SFV.SPP,0.18,Burned,Post
12/9/24,1063,APR,0.3,Burned,Post
12/9/24,1063,BBA,0,Burned,Post
12/9/24,1063,EBA,0.27,Burned,Post
12/9/24,1063,OMN,0.07,Burned,Post
12/9/24,1063,OPP,0.03,Burned,Post
12/9/24,1063,PRE,0.03,Burned,Post
12/9/24,1063,SFV.SPP,0.3,Burned,Post
1/2/25,509,APR,0.03,Burned,Post
1/2/25,509,BBA,0.23,Burned,Post
1/2/25,509,EBA,0.43,Burned,Post
1/2/25,509,OMN,0,Burned,Post
1/2/25,509,OPP,0.03,Burned,Post
1/2/25,509,PRE,0,Burned,Post
1/2/25,509,SFV.SPP,0.28,Burned,Post
1/2/25,511,APR,0.17,Burned,Post
1/2/25,511,BBA,0.33,Burned,Post
1/2/25,511,EBA,0.07,Burned,Post
1/2/25,511,OMN,0.03,Burned,Post
1/2/25,511,OPP,0,Burned,Post
1/2/25,511,PRE,0,Burned,Post
1/2/25,511,SFV.SPP,0.4,Burned,Post
1/2/25,1055,APR,0.1,Unburned,Post
1/2/25,1055,BBA,0.13,Unburned,Post
1/2/25,1055,EBA,0.1,Unburned,Post
1/2/25,1055,OMN,0.03,Unburned,Post
1/2/25,1055,OPP,0.07,Unburned,Post
1/2/25,1055,PRE,0.13,Unburned,Post
1/2/25,1055,SFV.SPP,0.44,Unburned,Post
1/2/25,1063,APR,0.03,Burned,Post
1/2/25,1063,BBA,0.1,Burned,Post
1/2/25,1063,EBA,0.23,Burned,Post
1/2/25,1063,OMN,0.06,Burned,Post
1/2/25,1063,OPP,0.03,Burned,Post
1/2/25,1063,PRE,0,Burned,Post
1/2/25,1063,SFV.SPP,0.54,Burned,Post
2/11/25,509,APR,0.133333333,Burned,Post
2/11/25,509,BBA,0.066666667,Burned,Post
2/11/25,509,EBA,0.233333333,Burned,Post
2/11/25,509,OMN,0.033333333,Burned,Post
2/11/25,509,OPP,0.066666667,Burned,Post
2/11/25,509,PRE,0.066666667,Burned,Post
2/11/25,509,SFV.SPP,0.4,Burned,Post
2/11/25,511,APR,0.096774194,Burned,Post
2/11/25,511,BBA,0.032258065,Burned,Post
2/11/25,511,EBA,0.193548387,Burned,Post
2/11/25,511,OMN,0.161290323,Burned,Post
2/11/25,511,OPP,0.032258065,Burned,Post
2/11/25,511,PRE,0.096774194,Burned,Post
2/11/25,511,SFV.SPP,0.387096774,Burned,Post
2/11/25,1055,APR,0.064516129,Unburned,Post
2/11/25,1055,BBA,0.290322581,Unburned,Post
2/11/25,1055,EBA,0.419354839,Unburned,Post
2/11/25,1055,OMN,0,Unburned,Post
2/11/25,1055,OPP,0.032258065,Unburned,Post
2/11/25,1055,PRE,0,Unburned,Post
2/11/25,1055,SFV.SPP,0.193548387,Unburned,Post
2/11/25,1063,APR,0.096774194,Burned,Post
2/11/25,1063,BBA,0.129032258,Burned,Post
2/11/25,1063,EBA,0.35483871,Burned,Post
2/11/25,1063,OMN,0,Burned,Post
2/11/25,1063,OPP,0.032258065,Burned,Post
2/11/25,1063,PRE,0,Burned,Post
2/11/25,1063,SFV.SPP,0.387096774,Burned,Post
3/4/25,509,APR,0.266666667,Burned,Post
3/4/25,509,BBA,0.233333333,Burned,Post
3/4/25,509,EBA,0.3,Burned,Post
3/4/25,509,OMN,0.033333333,Burned,Post
3/4/25,509,OPP,0.133333333,Burned,Post
3/4/25,509,PRE,0,Burned,Post
3/4/25,509,SFV.SPP,0.033333333,Burned,Post
3/4/25,511,APR,0.366666667,Burned,Post
3/4/25,511,BBA,0.066666667,Burned,Post
3/4/25,511,EBA,0.333333333,Burned,Post
3/4/25,511,OMN,0.033333333,Burned,Post
3/4/25,511,OPP,0,Burned,Post
3/4/25,511,PRE,0.033333333,Burned,Post
3/4/25,511,SFV.SPP,0.166666667,Burned,Post
3/4/25,1055,APR,0.066666667,Unburned,Post
3/4/25,1055,BBA,0.433333333,Unburned,Post
3/4/25,1055,EBA,0.3,Unburned,Post
3/4/25,1055,OMN,0,Unburned,Post
3/4/25,1055,OPP,0.066666667,Unburned,Post
3/4/25,1055,PRE,0,Unburned,Post
3/4/25,1055,SFV.SPP,0.133333333,Unburned,Post
3/12/25,509,APR,0.2,Burned,Post
3/12/25,509,BBA,0.233333333,Burned,Post
3/12/25,509,EBA,0.333333333,Burned,Post
3/12/25,509,OMN,0,Burned,Post
3/12/25,509,OPP,0.133333333,Burned,Post
3/12/25,509,PRE,0,Burned,Post
3/12/25,509,SFV.SPP,0.1,Burned,Post
3/12/25,511,APR,0.3,Burned,Post
3/12/25,511,BBA,0.033333333,Burned,Post
3/12/25,511,EBA,0.3,Burned,Post
3/12/25,511,OMN,0.066666667,Burned,Post
3/12/25,511,OPP,0.233333333,Burned,Post
3/12/25,511,PRE,0,Burned,Post
3/12/25,511,SFV.SPP,0.066666667,Burned,Post
3/12/25,1063,APR,0.2,Burned,Post
3/12/25,1063,BBA,0.2,Burned,Post
3/12/25,1063,EBA,0.3,Burned,Post
3/12/25,1063,OMN,0,Burned,Post
3/12/25,1063,OPP,0.033333333,Burned,Post
3/12/25,1063,PRE,0.1,Burned,Post
3/12/25,1063,SFV.SPP,0.166666667,Burned,Post
